Country,2023 GDP per Capita (USD),2022 Nominal GDP (USD Million),Percentage growth from 2021 - 2023,Per Capita Percentage growth from 2021 - 2023,Birth_Rate,Gross_Primary_Education_Enrollment,Average Youth Literacy Rate,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
United States,80412,25462700,13.486494051145687,13.961846490573546,11.6,101.8,0.0,88.2,14.7
China,12541,17963171,-0.18774187683913682,0.8292799617255403,10.9,100.2,100.0,50.6,4.32
Germany,52824,4072192,3.8354224240254386,3.3147811600787525,9.5,104.0,0.0,70.2,3.04
Japan,33950,4231141,-16.78182838390853,-16.789396170839467,7.4,98.8,0.0,63.2,2.29
India,2612,3385090,14.220823830509637,12.940275650842267,17.86,113.0,91.5,28.1,5.36
United Kingdom,48912,3070668,6.022732490631168,4.845436702649657,11.0,101.2,0.0,60.0,3.85
France,46315,2782905,2.9890299034180208,4.503940408075137,11.3,102.5,0.0,65.6,8.43
Italy,37146,2010432,3.585364135471588,4.218489204759597,7.3,101.9,100.0,61.9,9.89
Brazil,10413,1920096,24.347649459824556,27.90742341304139,13.92,115.4,99.0,51.3,12.08
Canada,53247,2139840,6.113357934276291,2.13157548782091,10.1,100.9,0.0,68.9,5.56
Russia,13006,2240422,4.493387812958061,5.743502998616023,11.5,102.6,100.0,81.9,4.59
Mexico,13804,1414187,29.734392216699383,27.223993045494062,17.6,105.8,99.0,40.2,3.42
South Korea,33147,1665246,-5.952029917530212,-5.409237638398649,6.4,98.1,0.0,94.3,4.15
Australia,63487,1675419,-2.7741091050433337,-5.40110573818262,12.6,100.3,0.0,113.1,5.27
Spain,33090,1397509,9.77672064291105,9.162889090359625,7.9,102.7,100.0,88.9,13.96
Indonesia,5109,1319100,16.318337899246995,15.188882364454884,18.07,106.4,100.0,36.3,4.69
Turkey,13384,905988,29.06339857959466,27.816796174536762,16.03,93.2,0.0,23.9,13.49
Netherlands,61770,991115,7.311932851856056,6.31212562732718,9.7,104.2,0.0,85.0,3.2
Saudi Arabia,32586,1108149,22.05796133853607,28.846744000491007,17.8,99.8,0.0,68.0,5.93
Switzerland,102865,807706,10.248276440789503,9.079861954989548,10.0,105.2,0.0,59.6,4.58
Poland,22393,688177,19.322656179497773,20.796677533157684,10.2,100.0,0.0,67.8,3.47
