Country,Continent,2023 Nominal GDP (USD Million),2022 Nominal GDP (USD Million),2021 Nominal GDP (USD Million),2023 GDP per Capita (USD),2022 GDP per Capita (USD),2021 GDP per Capita (USD),Percentage growth from 2021 - 2023,Per Capita Percentage growth from 2021 - 2023
United States,Americas,26949643,25462700,23315081,80412,76399,69185,13.486494051145687,13.961846490573546
China,Asia,17700899,17963171,17734131,12541,12720,12437,-0.18774187683913682,0.8292799617255403
Germany,Europe,4429838,4072192,4259935,52824,48433,51073,3.8354224240254386,3.3147811600787525
Japan,Asia,4230862,4231141,4940878,33950,33815,39650,-16.78182838390853,-16.789396170839467
India,Asia,3732224,3385090,3201471,2612,2389,2274,14.220823830509637,12.940275650842267
United Kingdom,Europe,3332059,3070668,3131378,48912,45850,46542,6.022732490631168,4.845436702649657
France,Europe,3049016,2782905,2957880,46315,40964,44229,2.9890299034180208,4.503940408075137
Italy,Europe,2186082,2010432,2107703,37146,34158,35579,3.585364135471588,4.218489204759597
Brazil,Americas,2126809,1920096,1608981,10413,8918,7507,24.347649459824556,27.90742341304139
Canada,Americas,2117805,2139840,1988336,53247,54967,52112,6.113357934276291,2.13157548782091
Russia,Europe,1862470,2240422,1778782,13006,15345,12259,4.493387812958061,5.743502998616023
Mexico,Americas,1811468,1414187,1272839,13804,11091,10046,29.734392216699383,27.223993045494062
South Korea,Asia,1709232,1665246,1810966,33147,32255,34940,-5.952029917530212,-5.409237638398649
Australia,Oceania,1687713,1675419,1734532,63487,64491,66916,-2.7741091050433337,-5.40110573818262
Spain,Europe,1582054,1397509,1427381,33090,29350,30058,9.77672064291105,9.162889090359625
Indonesia,Asia,1417387,1319100,1186093,5109,4788,4333,16.318337899246995,15.188882364454884
Turkey,Asia,1154600,905988,819034,13384,10616,9661,29.06339857959466,27.816796174536762
Netherlands,Europe,1092748,991115,1012847,61770,55985,57871,7.311932851856056,6.31212562732718
Saudi Arabia,Asia,1069437,1108149,833541,32586,30436,23186,22.05796133853607,28.846744000491007
Switzerland,Europe,905684,807706,812867,102865,92102,93525,10.248276440789503,9.079861954989548
Poland,Europe,842172,688177,679442,22393,18321,17736,19.322656179497773,20.796677533157684
Belgium,Europe,627511,578604,594104,53657,49583,51166,5.323731376820486,4.642451124736754
Argentina,Americas,621833,632770,487227,13297,13686,10761,21.64664789420954,19.07197112130556
Sweden,Europe,597110,585939,635664,55216,55873,60730,-6.456766759893487,-9.986235873659808
Ireland,Europe,589569,529245,504183,112248,104039,101109,14.4827831856831,9.923562112465255
Norway,Europe,546768,579267,482175,99266,106149,89242,11.813602844350802,10.09812020228477
Austria,Europe,526182,471400,480368,58013,52131,53840,8.706873287189604,7.193215313808973
Israel,Asia,521688,522033,481591,53196,54660,54111,7.6860115624664544,-1.7200541394089781
Thailand,Asia,512193,495341,505982,7298,6909,7067,1.2126288332718331,3.1652507536311316
United Arab Emirates,Asia,509179,507535,405468,50602,53758,43295,20.36827913170025,14.440140705900953
Singapore,Asia,497347,466789,396992,87884,82808,66822,20.1780648118919,23.965682035410314
Bangladesh,Asia,446349,460201,414907,2621,2688,2450,7.044263569538635,6.524227394124379
Philippines,Asia,435675,404284,394086,3859,3499,3461,9.545877087278361,10.313552733868878
Vietnam,Asia,433356,408802,366138,4316,4164,3756,15.511034807410073,12.974976830398516
Malaysia,Asia,430895,406306,372702,13034,11972,11101,13.505146265331462,14.830443455577718
Denmark,Europe,420800,395404,398303,71402,66983,68037,5.346245247148289,4.712753144169631
Egypt,Africa,398397,476748,425906,3770,4295,3898,-6.904921472802256,-3.395225464190981
Nigeria,Africa,390002,477386,430923,1755,2184,2019,-10.492510294819,-15.042735042735043
Hong Kong,Asia,385546,359839,369174,51168,48984,49259,4.246445300949822,3.7308474046278928
South Africa,Africa,380906,405870,419016,6191,6777,7055,-10.00509312008737,-13.955742206428686
Iran,Asia,366438,388544,594892,4234,4388,6766,-62.344516671305925,-59.80160604629192
Colombia,Americas,363835,343939,314464,6976,6630,6104,13.56961259911773,12.5
Romania,Europe,350414,301262,284086,18413,15892,14698,18.928467469907023,20.17596263509477
Chile,Americas,344400,301025,317059,17254,15356,16265,7.938734030197445,5.732004172945404
Pakistan,Asia,340636,376533,342501,1471,1597,1480,-0.5475052548761729,-0.6118286879673691
Czech Republic,Europe,335243,290924,281778,30475,27638,26809,15.948133145211084,12.029532403609517
Finland,Europe,305689,280826,297302,54507,50537,53703,2.7436381420332427,1.4750399031317079
Iraq,Asia,297695,264182,204004,5883,5937,4686,31.472144308772403,20.34676185619582
Portugal,Europe,276432,251945,253663,26879,24275,24651,8.23674538403658,8.288998846683285
Peru,Americas,264636,242632,223252,7669,7126,6622,15.638084009734127,13.65236667101317
Kazakhstan,Asia,259292,220623,193018,12968,11243,10055,25.559600758989866,22.462985811227636
New Zealand,Oceania,249415,247234,250451,48072,48249,48824,-0.4153719704107612,-1.564320186387086
Greece,Europe,242385,219066,214874,23173,20732,20571,11.350124801452235,11.228584991153499
Qatar,Asia,235500,237296,179571,81968,88046,66799,23.74904458598726,18.506002342377514
Algeria,Africa,224107,191913,163473,4875,4274,3700,27.055826011681923,24.102564102564102
Hungary,Europe,203829,178789,181848,21075,18463,18728,10.784039562574511,11.136417556346382
Ukraine,Europe,173413,160503,200086,5225,4534,4596,-15.381199794709739,12.038277511961724
Kuwait,Asia,159687,184558,136642,32215,43234,32150,14.431356340841772,0.20176936209840138
Ethiopia,Africa,155804,126783,99269,1473,1028,825,36.28597468614413,43.9918533604888
Morocco,Africa,147343,134182,142867,3980,3528,3853,3.0378097364652543,3.1909547738693465
Slovakia,Europe,133044,115469,116527,24471,21258,21390,12.414689877033162,12.59041314208655
Dominican Republic,Americas,120629,113642,94243,11249,10121,8477,21.873678800288488,24.64219041692595
Ecuador,Americas,118686,115049,106166,6500,6391,5965,10.548843166001044,8.23076923076923
Puerto Rico,Americas,117515,113435,106526,37093,35209,32716,9.351146662128238,11.800070094087832
Kenya,Africa,112749,113420,110347,2188,2099,2082,2.1303958349963192,4.844606946983546
Oman,Asia,108282,114667,88192,21266,25057,19509,18.553406845089672,8.26201448321264
Bulgaria,Europe,103099,89040,84058,16087,13773,12207,18.468656340022697,24.11885373282775
Guatemala,Americas,102765,95003,85986,5407,5473,4883,16.327543424317618,9.691141113371556
Angola,Africa,93796,106714,70533,2550,2999,2258,24.80169730052454,11.450980392156863
Uzbekistan,Asia,90392,80392,69239,2509,2255,2032,23.40140720417736,19.011558389796733
Luxembourg,Europe,89095,82275,85506,135605,126426,133745,4.028284415511533,1.3716308395708123
Costa Rica,Americas,85590,68381,64282,16213,13199,12472,24.895431709311836,23.074076358477765
Tanzania,Africa,84033,75709,70297,1327,1192,1136,16.345959325503078,14.393368500376791
Panama,Americas,82348,76523,63605,18493,17358,14618,22.760722786224317,20.95387443897691
Croatia,Europe,80185,70965,68955,20877,18413,16983,14.005113175781005,18.652105187526942
Ivory Coast,Africa,79430,70019,69765,2728,2486,2539,12.167946619665114,6.928152492668621
Lithuania,Europe,79427,70334,66445,28482,24827,23844,16.34456796807131,16.283968822414156
Azerbaijan,Asia,77392,78721,54622,7530,7737,5296,29.421645648129008,29.667994687915005
